plan_id,direction,entry_time,n_trades,net_pnl_pips,net_pnl_usd,result
131,SELL,2026-03-31 16:43:00,1,1261.2,189.18,WIN
134,BUY,2026-04-07 00:03:00,1,370.0,199.8,WIN
136,BUY,2026-04-07 09:32:00,1,-192.2,-99.94,LOSS
137,SELL,2026-04-07 14:30:00,1,-662.5,-99.38,LOSS
138,BUY,2026-04-07 18:54:00,1,-267.8,-99.09,LOSS
139,BUY,2026-04-08 01:22:00,1,867.2,199.46,WIN
144,BUY,2026-04-09 09:47:00,1,527.2,295.24,WIN
145,BUY,2026-04-10 12:28:00,1,619.8,297.5,WIN
146,SELL,2026-04-10 12:32:00,1,-310.8,-99.46,LOSS
147,SELL,2026-04-13 05:59:00,1,349.6,199.27,WIN
148,SELL,2026-04-13 07:04:00,1,550.8,198.29,WIN
149,BUY,2026-04-13 13:55:00,1,582.4,198.02,WIN
150,SELL,2026-04-13 17:21:00,1,-281.0,-98.35,LOSS
151,SELL,2026-04-15 13:25:00,1,-151.9,-98.71,LOSS
152,SELL,2026-04-15 22:02:00,1,618.6,296.93,WIN
154,BUY,2026-04-16 13:43:00,1,289.5,199.74,WIN
155,BUY,2026-04-16 13:54:00,1,-375.8,-97.71,LOSS
157,SELL,2026-04-20 05:33:00,1,290.0,197.2,WIN
159,SELL,2026-04-20 18:05:00,1,-101.6,-99.57,LOSS
160,BUY,2026-04-21 00:29:00,1,-141.0,-98.7,LOSS
161,SELL,2026-04-21 08:23:00,1,-257.6,-97.89,LOSS
163,SELL,2026-04-21 20:13:00,1,-578.3,-98.32,LOSS
164,BUY,2026-04-22 09:49:00,1,-100.2,-99.2,LOSS
166,BUY,2026-04-23 00:04:00,1,-159.0,-98.58,LOSS
167,SELL,2026-04-23 00:25:00,1,-693.2,-97.05,LOSS
168,BUY,2026-04-24 17:33:00,1,277.6,199.87,WIN
169,BUY,2026-04-26 22:06:00,1,-343.3,-99.55,LOSS
171,BUY,2026-04-27 13:38:00,1,-180.0,-99.0,LOSS
172,BUY,2026-04-28 08:05:00,1,-278.8,-97.58,LOSS
173,SELL,2026-04-29 11:38:00,1,412.2,296.78,WIN
174,BUY,2026-04-30 15:41:00,1,-169.4,-99.95,LOSS
176,SELL,2026-04-30 17:08:00,1,-192.8,-98.33,LOSS
178,BUY,2026-05-01 05:40:00,1,209.6,199.12,WIN
179,SELL,2026-05-01 13:35:00,1,-238.6,-97.83,LOSS
180,SELL,2026-05-04 00:09:00,1,380.8,198.02,WIN
181,BUY,2026-05-04 01:06:00,1,-233.4,-98.03,LOSS
182,SELL,2026-05-04 03:48:00,1,-260.2,-98.88,LOSS
183,SELL,2026-05-04 05:22:00,1,358.8,197.34,WIN
184,BUY,2026-05-05 00:26:00,1,-155.6,-99.58,LOSS
185,BUY,2026-05-05 14:18:00,1,-260.6,-99.03,LOSS
187,BUY,2026-05-05 22:05:00,1,-131.0,-99.56,LOSS
188,SELL,2026-05-05 22:59:00,1,-387.8,-96.95,LOSS
