plan_id,tag,direction,kind,entry_time,entry,sl,tp,exit_time,exit_price,result,lot,pnl_pips,pnl_usd,entry_bar,exit_bar
48,ไม้1:แม่0%,BUY,LIMIT,2026-02-05 17:59:00,4865.399,4862.122,4871.953,2026-02-05 18:02:00,4871.953,TP,0.3,655.4,196.63,30927,30930
49,ไม้1:แม่0%,BUY,LIMIT,2026-02-06 10:27:00,4855.165,4851.021,4867.597,2026-02-06 10:34:00,4867.597,TP,0.24,1243.2,298.37,31855,31862
50,ไม้1:แม่0%,BUY,LIMIT,2026-02-09 01:07:00,5013.325,5008.341,5028.277,2026-02-09 01:07:00,5008.341,SL,0.2,-498.4,-99.68,32675,32675
51,ไม้1:แม่0%,SELL,LIMIT,2026-02-09 13:08:00,5022.235,5024.423,5017.859,2026-02-09 13:10:00,5024.423,SL,0.45,-218.8,-98.46,33396,33398
52,ไม้1:แม่0%,SELL,LIMIT,2026-02-09 23:03:00,5073.748,5078.754,5058.73,2026-02-09 23:04:00,5058.73,TP,0.19,1501.8,285.34,33931,33932
54,ไม้1:แม่0%,BUY,LIMIT,2026-02-10 12:11:00,5044.365,5042.131,5048.833,2026-02-10 12:11:00,5042.131,SL,0.44,-223.4,-98.3,34719,34719
55,ไม้1:แม่0%,BUY,LIMIT,2026-02-11 04:44:00,5052.415,5051.403,5054.439,2026-02-11 04:46:00,5054.439,TP,0.98,202.4,198.35,35652,35654
57,ไม้1:แม่0%,BUY,LIMIT,2026-02-11 21:31:00,5082.005,5080.153,5085.709,2026-02-11 21:32:00,5080.153,SL,0.53,-185.2,-98.16,36659,36660
59,ไม้1:แม่0%,BUY,LIMIT,2026-02-12 14:18:00,5058.823,5055.422,5065.626,2026-02-12 14:19:00,5055.422,SL,0.29,-340.1,-98.64,37606,37607
60,ไม้1:แม่0%,SELL,LIMIT,2026-02-12 19:37:00,4948.662,4952.184,4941.616,2026-02-12 19:42:00,4941.616,TP,0.28,704.5,197.27,37925,37930
61,ไม้1:แม่0%,SELL,LIMIT,2026-02-13 01:06:00,4956.415,4962.139,4939.243,2026-02-13 01:06:00,4962.139,SL,0.17,-572.4,-97.31,38187,38187
62,ไม้1:แม่0%,BUY,LIMIT,2026-02-13 05:32:00,4970.4,4967.628,4975.944,2026-02-13 05:32:00,4967.628,SL,0.36,-277.2,-99.79,38453,38453
64,ไม้1:แม่0%,SELL,LIMIT,2026-02-16 01:09:00,5020.972,5023.35,5016.216,2026-02-16 01:14:00,5023.35,SL,0.42,-237.8,-99.88,39570,39575
68,ไม้1:แม่0%,BUY,LIMIT,2026-02-17 21:00:00,4876.515,4875.181,4879.183,2026-02-17 21:00:00,4879.183,TP,0.74,266.8,197.43,41990,41990
71,ไม้1:แม่0%,BUY,LIMIT,2026-02-18 10:32:00,4915.931,4914.806,4918.182,2026-02-18 10:32:00,4918.182,TP,0.88,225.1,198.07,42740,42740
72,ไม้1:แม่0%,SELL,LIMIT,2026-02-18 23:12:00,4978.17,4980.517,4973.475,2026-02-18 23:13:00,4973.475,TP,0.42,469.5,197.18,43440,43441
73,ไม้1:แม่0%,SELL,LIMIT,2026-02-19 04:57:00,4983.93,4985.334,4979.718,2026-02-19 05:00:00,4985.334,SL,0.71,-140.4,-99.68,43785,43788
74,ไม้1:แม่0%,SELL,LIMIT,2026-02-19 23:03:00,5002.248,5004.176,4996.464,2026-02-19 23:03:00,4996.464,TP,0.51,578.4,294.98,44811,44811
75,ไม้1:แม่0%,SELL,LIMIT,2026-02-20 07:09:00,5025.037,5026.86,5021.389,2026-02-20 07:10:00,5026.86,SL,0.54,-182.4,-98.5,45297,45298
76,ไม้1:แม่0%,BUY,LIMIT,2026-02-20 15:05:00,5018.805,5009.977,5045.289,2026-02-20 15:06:00,5009.977,SL,0.11,-882.8,-97.11,45773,45774
77,ไม้1:แม่0%,SELL,LIMIT,2026-02-23 23:05:00,5243.048,5246.478,5236.188,2026-02-23 23:06:00,5236.188,TP,0.29,686.0,198.94,47573,47574
80,ไม้1:แม่0%,BUY,LIMIT,2026-02-25 17:50:00,5204.936,5203.3,5208.208,2026-02-25 17:51:00,5208.208,TP,0.61,327.2,199.59,50077,50078
83,ไม้1:แม่0%,BUY,LIMIT,2026-02-26 17:18:00,5177.57,5175.284,5182.142,2026-02-26 17:19:00,5175.284,SL,0.43,-228.6,-98.3,51425,51426
84,ไม้1:แม่0%,SELL,LIMIT,2026-02-26 18:43:00,5179.405,5182.009,5174.197,2026-02-26 18:43:00,5182.009,SL,0.38,-260.4,-98.95,51510,51510
85,ไม้1:แม่0%,BUY,LIMIT,2026-02-26 21:28:00,5185.895,5184.017,5189.651,2026-02-26 21:44:00,5189.651,TP,0.53,375.6,199.07,51675,51691
88,ไม้1:แม่0%,BUY,LIMIT,2026-03-02 13:14:00,5384.135,5379.105,5399.225,2026-03-02 13:23:00,5399.225,TP,0.19,1509.0,286.71,53940,53949
